name,points
 HONORÉ Mikkel Frølich,285
 MONIQUET Sylvain,284
 BUDYAK Anatoliy,283
 BALLERINI Davide,282
 LASTRA Jonathan,281
 CAVAGNA Rémi,279
 MANZIN Lorrenzo,277
 ANIOŁKOWSKI Stanisław,276
 ASGREEN Kasper,275
 BARBIER Pierre,274
 KWIATKOWSKI Michał,273
 TEUNISSEN Mike,272
 DENNIS Rohan,271
 VENTURINI Clément,271
 DUNBAR Eddie,269
 BISSEGGER Stefan,268.7
 CHAMPOUSSIN Clément,268
 VAN WILDER Ilan,267
 DUPONT Timothy,264
 BAX Sjoerd,262
 VANHOUCKE Harm,261
 GALL Felix,261
 BYSTRØM Sven Erik,260
 SWIFT Connor,260
 FIORELLI Filippo,259
 VANMARCKE Sep,258
 KAMP Alexander,257
 MAYRHOFER Marius,257
 BANASZEK Alan,256.4
 TIBERI Antonio,256
 MEZGEC Luka,253
 WELSFORD Sam,253
 VERMEERSCH Florian,251
 SMITH Dion,249
 SEPÚLVEDA Eduardo,247
 BOUCHARD Geoffrey,245
 SCHACHMANN Maximilian,244
 WELTEN Bram,244
 TRÆEN Torstein,243
 LEEMREIZE Gijs,239
 PORTE Richie,238
 GODON Dorian,238
 VELASCO Simone,236
 PETIT Adrien,234
 SIMMONS Quinn,232
 GENIETS Kevin,229
 MULUBRHAN Henok,222
 FEDELI Alessandro,221
 DEVRIENDT Tom,220
 MASNADA Fausto,220
 MENTEN Milan,220
 DE BUYST Jasper,215
 MILAN Jonathan,213
 PARET-PEINTRE Aurélien,212
 DE BOD Stefan,211
 ARMIRAIL Bruno,210
 BONNAMOUR Franck,209
 TAMINIAUX Lionel,209
 VACEK Mathias,209
 DYBALL Benjamin,208
 DEWULF Stan,208
 SAINBAYAR Jambaljamts,207
 RODRÍGUEZ Cristián,207
 EDET Nicolas,205
 IMPEY Daryl,204
 VAN EETVELT Lennert,203.3
 RIESEBEEK Oscar,203
 WEEMAES Sasha,203
 OOMEN Sam,202
 BARCELÓ Fernando,202
 UIJTDEBROEKS Cian,201.3
 COLLEONI Kevin,201
 HAMILTON Lucas,200
 PERNSTEINER Hermann,200
Rider,Points
 GUERNALEC Thibault,132
 TUSVELD Martijn,131
 KOCH Jonas,131
 SCHÖNBERGER Sebastian,131
 BRENNER Marco,131
 DE GENDT Thomas,130
 OLIVEIRA Rui,130
 OTRUBA Jakub,130
 CEPEDA Jefferson Alexander,129
 MORIN Emmanuel,128
 MARTINEZ Lenny,127.3
 HARPER Chris,127
 FETTER Erik,127
 MÜHLBERGER Gregor,126
 NICOLAU Joel,126
 ONLEY Oscar,126
 STOSZ Patryk,125.1
 WARLOP Jordi,125
 SKAARSETH Anders,125
 STAUNE-MITTET Johannes,124.2
 FELLINE Fabio,124
 BRAMBILLA Gianluca,123
 PRADES Eduard,122
 SWIFT Ben,122
 CRADDOCK Lawson,120
 CASTROVIEJO Jonathan,120
 VAN MOER Brent,120
 RIVERA Brandon Smith,120
 MARTINELLI Alessio,120
 DUMOULIN Tom,119
 VAN ASBROECK Tom,119
 RAILEANU Cristian,119
 BONIFAZIO Niccolò,119
 RUSSO Clément,119
 VAN TRICHT Stan,119
 ED DOGHMY Achraf,119
 LE GAC Olivier,118
 VAN ENGELEN Adne,118
 BERWICK Sebastian,118
 BONNEU Kamiel,118
 WATSON Samuel,117.3
 DE KLEIJN Arvid,117
 BERCKMOES Jenno,117
 CANAL Carlos,117
 ENGELHARDT Felix,116.8
 BOL Cees,116
 BJERG Mikkel,116
 HAMILTON Chris,115
 CHZHAN Igor,115
 CARVALHO Antonio,114
 GUGLIELMI Simon,114
 LAWLESS Chris,113
 MOSCHETTI Matteo,113
 BLIKRA Erlend,113
 GOVEKAR Matevž,112
 BERNARD Julien,111
 OURSELIN Paul,111
 PAASSCHENS Mathijs,111
 STEIMLE Jannik,109.8
 DOMBROWSKI Joe,109
 KNOX James,109
 MARTÍN Gotzon,109
 ŘEPA Vojtěch,109
 COTÉ Pier-André,108
 SALBY Alexander,107.2
 LIENHARD Fabian,107
 LAPEIRA Paul,107
 BARBIER Rudy,106
 HARDY Romain,106
 SALEH Mohd Harrif,106
 CONTRERAS Emiliano,106
 SYRITSA Gleb,106
 HAUSSLER Heinrich,105
 VAN HOOYDONCK Nathan,105
 MARIT Arne,105
 VILLELLA Davide,104
 ABERASTURI Jon,103
 EYOB Metkel,103
 MAIN Kent,103
 WILLEMS Thimo,103
 RUTSCH Jonas,103
 BLOEM Joren,103
 BARRÉ Louis,103
 SAFARZADEH Saeid,102
 ROLLAND Pierre,102
 MALUCELLI Matteo,102
 DOUBEY Fabien,102
 VANDENABEELE Henri,102
 CARDIS Romain,101
 DE MARCHI Alessandro,101
 MULLEN Ryan,101
 GHYS Robbe,101
 SEXTON Tom,101
 BAIS Davide,100
 MIHOLJEVIĆ Fran,100
 LECROQ Jérémy,99
 EL ARBAOUI Adil,99
 O'BRIEN Kelland,99
 THOMPSON Reuben,98.3
 CATTANEO Mattia,98
Rider,Points
 CHEREL Mikaël,98
 GOMEZ Nicolas David,98
 GRÉGOIRE Romain,97.3
 DOULL Owain,97
 MASUDA Nariyuki,97
 EARLE Nathan,97
 CIMOLAI Davide,97
 VAHTRA Norman,97
 SÜTTERLIN Jasha,96
 BOUDAT Thomas,96
 RAJOVIĆ Dušan,96
 HUYS Laurens,96
 PESENTI Thomas,96
 BARONCINI Filippo,96
 RYAN Archie,96
 ZWIEHOFF Ben,96
 SBARAGLI Kristian,95
 JANSSENS Jimmy,95
 GESINK Robert,95
 LEROUX Samuel,95
 ARCHIBOLD Franklin,95
 KONONENKO Mykhaylo,93
 KIRSCH Alex,93
 NIEUWENHUIS Joris,93
 ARASHIRO Yukiya,92
 FROOME Chris,92
 MERTZ Rémy,92
 MCGILL Scott,92
 CARR Simon,92
 KOPECKÝ Tomáš,92
 BURATTI Nicolò,92
 BUSATTO Francesco,92
 KEPPLINGER Rainer,92
 RAPP Jonas,91
 LIVYNS Arjen,91
 BABOR Daniel,91
 DENZ Nico,90
 VAN EMDEN Jos,90
 CAICEDO Jonathan Klever,90
 KIELICH Timo,90
 GRONDIN Donavan,90
 PÉRICHON Pierre-Luc,89
 LUDVIGSSON Tobias,89
 NOPPE Christophe,89
 HOOLE Daan,88.5
 SINKELDAM Ramon,88
 PETERS Nans,88
 HEMING Mika,88
 DURBRIDGE Luke,87.7
 KOISHI Yuma,87
 GIBBONS Ryan,87
 KUDUS Merhawi,87
 BAUDIN Alex,87
 COMBAUD Romain,86
 LEBAS Thomas,86
 POOLE Max,86
 STOKBRO Andreas,85
 GOEMAN Andreas,84.9
 NYS Thibau,84.3
 GROSU Eduard-Michael,84
 ZABEL Rick,84
 ARMÉE Sander,84
 FERASSE Thibault,84
 BARTA Will,84
 VAN DEN BERG Julius,84
 DINHAM Matthew,84
 BODNAR Maciej,83
 BÁRTA Tomáš,83
 AZPARREN Xabier Mikel,83
 ZARDINI Edoardo,82
 HÄNNINEN Jaakko,82
 BRUSSENSKIY Gleb,82
 HAYTER Leo,82
 JOHANNESSEN Anders Halland,82
 LAMPERTI Luke,82
 CULVERWELL Sam,82
 DECLERCQ Tim,81
 MODOLO Sacha,81
 DALLA VALLE Nicolas,81
 REX Laurenz,81
 VAN DER SANDE Tosh,80
 ARCAS Jorge,80
 BITTNER Pavel,80
 REINDERS Elmar,79.5
 WILLIAMS Stephen,79
 BALMER Alexandre,79
 ERIKSSON Lucas,78.3
 JOHANSEN Julius,78
 SEGAERT Alec,78
 VERGAERDE Otto,76
 DILLIER Silvan,76
 EZQUERRA Jesús,76
 DECLERCQ Benjamin,76
 MERTENS Julian,76
 SCHELLING Ide,76
 ROJAS Vicente,76
 PAREDES César Nicolás,75
 DIMA Emil,75
 FINÉ Eddy,75
 PATERSKI Maciej,74
